"",".id","logLik","n","k","AICc","BIC"
"1","BM",2585.03449346088,480,27,-5112.72385417839,-5003.3767621164
"2","OU",2684.56669886006,480,54,-5247.15692713189,-5035.74894810942
"3","BMkappaP",2108.57197157759,480,7,-4202.9066550196,-4173.92744042788
"4","OUkappaP",2174.44986001745,480,34,-4275.55140542815,-4138.99099250223
"5","BMkappaG",1480.62686313799,480,7,-2947.01643814038,-2918.03722354866
"6","OUkappaG",1510.57050493883,480,34,-2947.79269527093,-2811.232282345
"7","fitMixed 1",2788.90731116293,480,78,-5391.08145524356,-5096.2593062215
"8","fitMixed 2",2796.76599731714,480,51,-5479.13947126979,-5278.66890333528
"9","fitMixed 3",2868.67137629207,480,97,-5493.57311907629,-5138.48550050565
"10","fitMixed 4",2823.03081823906,480,74,-5470.65422907071,-5189.20146478937
"11","fitMixed 5",2878.96235763487,480,51,-5643.53219190525,-5443.06162397074
"12","fitMixed 6",2820.76577956361,480,78,-5454.79839204493,-5159.97624302287
